
Mon May 27 2024 14:29:03 GMT-0700 (Pacific Daylight Time)
===================================================================================
#show processes memory
Processor Pool Total: 1333163004 Used:  327827576 Free: 1005335428
reserve P Pool Total:     102404 Used:         88 Free:     102316
 lsmpi_io Pool Total:    6295128 Used:    6294296 Free:        832
 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
   0   0  285153776   33722104  232732448        330    8295377 *Init*          
   0   0       1472 4728449624       1472          0          0 *Sched*         
   0   0 10690723240 10647909160    6263216     155401      80180 *Dead*          
   0   0          0          0    1182992          0          0 *MallocLite*    
   1   0    1598912    1398688     784776          0          0 Chunk Manager   
   2   0      43648        448      61160          0          0 Load Meter      
   3   0    3150056    3073688      68600          4          4 Exec            
   4   0   22506448      92368   22276016          0          0 RF Slave Main Th
   5   0          0          0      29960          0          0 Retransmission o
   6   0          0          0      29960          0          0 IPC ISSU Dispatc
   7   0          0          0      29960          0          0 RO Notify Timers
   8   0          0          0      29960          0          0 VIDB BACKGD MGR 
   9   0       8736        448      38248          0          0 Check heaps     
  10   0 6003671624 6003692320     216960         51          0 Pool Manager    
  11   0          0          0      29960          0          0 DiscardQ Backgro
  12   0        448        448      29960          0          0 Timers          
  13   0          0          0      17960          0          0 WATCH_AFS       
  14   0          0          0      29960          0          0 DB Lock Manager 
  15   0        448        448      29960          0          0 GraphIt         
  16   0          0          0      29960          0          0 DB Notification 
  17   0          0          0      29960          0          0 IOSXE heartbeat 
  18   0       8128       8128      29960          0          0 PrstVbl         
  19   0          0          0      29960          0          0 IPC Apps Task   
  20   0   10137824   10066336     101448      28911      28911 ARP Input       
  21   0      63216       8856      84320          5          5 ARP Background  
  22   0          0          0      29960          0          0 AAA_SERVER_DEADT
  23   0          0          0      53960          0          0 Policy Manager  
  24   0        448        448      29960          0          0 DDR Timers      
  25   0     194280     135352      74256        145        145 Entity MIB API  
  26   0          0          0      29960          0          0 ifIndex Receive 
  27   0          0          0      29960          0          0 IFS Agent Manage
  28   0          0          0      29960          0          0 IPC Event Notifi
  29   0          0          0      29960          0          0 IPC Mcast Pendin
  30   0          0          0      29960          0          0 Platform appsess
  31   0          0          0      29960          0          0 IPC Dynamic Cach
  32   0          0          0      29960          0          0 IPC Service NonC
  33   0          0          0      29960          0          0 IPC Zone Manager
  34   0          0          0      29960          0          0 IPC Periodic Tim
  35   0          0          0      29960          0          0 IPC Deferred Por
  36   0          0          0      29960          0          0 IPC Process leve
  37   0       2192          0      32152          0          0 IPC Seat Manager
  38   0          0          0      29960          0          0 IPC Check Queue 
  39   0          0          0      29960          0          0 IPC Seat RX Cont
  40   0          0          0      29960          0          0 IPC Seat TX Cont
  41   0          0          0      29960          0          0 IPC Keep Alive M
  42   0          0          0      29960          0          0 IPC Loadometer  
  43   0          0          0      29960          0          0 IPC Session Deta
  44   0          0          0      29960          0          0 SENSOR-MGR event
  45   0        448        448      29960          0          0 Serial Backgroun
  46   0          0          0      17960          0          0 RMI RM Notify Wa
  47   0          0          0      29960          0          0 Graceful Reload 
  48   0        448        448      29960          0          0 ATM Idle Timer  
  49   0          0          0      29960          0          0 ATM ASYNC PROC  
  50   0          0          0      29960          0          0 CEF MIB API     
  51   0      63048      66728      29960          0          0 SL Platform Back
  52   0          0          0      53960          0          0 License IPC stat
  53   0          0          0      53960          0          0 License IPC serv
  54   0          0          0      29960       1397       1397 Net Input       
  55   0          0          0      29960          0          0 IOSXE signals IO
  56   0          0          0      29960          0          0 client_entity_se
  57   0          0          0      29960          0          0 SERIAL A'detect 
  58   0          0          0      29960          0          0 ARP Snoop       
  59   0          0          0      29960          0          0 Dynamic ARP Insp
  60   0        448        448      53960          0          0 XML Proxy Client
  61   0    7812688  263478896      46520         12         12 crypto sw pk pro
  62   0     147312     164736      57712          0          0 SAEventLog      
  63   0     203504     239744      57936          0          0 SAStorage       
  64   0      36472      32728      58024          0          0 SASConnect      
  65   0     175784       3672      64080          0          0 SASRcvWQ        
  66   0      57936      36872      74784          0          0 SACConnect      
  67   0     117400       3936      62232          0          0 SACRcvWQ        
  68   0          0          0      29960          0          0 Critical Bkgnd  
  69   0     653832      23696     401144    1036238    1036238 Net Background  
  70   0       1920       1920      53960          0          0 IDB Work        
  71   0        448        448      53960     369785     369785 Logger          
  72   0     165336        448      30864          0          0 TTY Background  
  73   0       5480       3120      56320          0          0 CTS CORE        
  74   0          0          0      29960          0          0 NGWC SGACL Statu
  75   0          0          0      29960          0          0 NGWC SGT-Cache p
  76   0    1892592    1702240     245520          4          4 SASRcvWQWrk1    
  77   0       2560       8520      56072          0          0 SXP CORE        
  78   0  429724040      13592   20465512        172        172 IOSD ipc task   
  79   0     501952     498464     101960         12         12 IOSD chasfs task
  80   0          0          0      41960          0          0 REDUNDANCY FSM  
  81   0          0          0      30080          0          0 NGWC OIR CC Proc
  82   0          0          0      29960          0          0 MATM SPI client 
  83   0      10096          0      52056          0          0 Punt FP Stats Du
  84   0       1856        448      43368    2589879    2589879 PuntInject Keepa
  85   0          0          0      29960          0          0 Ng3k envvar sync
  86   0     162536      12832      94568          0          0 NGWC_OIRSHIM_TAS
  87   0      11872          0      41832          0          0 IF-MGR control p
  88   0          0          0      29960          0          0 IF-MGR event pro
  89   0          0          0      29960          0          0 FQDN HA         
  90   0        448        448      29960          0          0 CTS HA          
  91   0          0          0      29960          0          0 CTS HA IPC flow 
  92   0          0          0      29960          0          0 CTS HA operation
  93   0        448        448      29960          0          0 mDNS HA         
  94   0        448        448      29960          0          0 mDNS HA CF      
  95   0          0          0      29960          0          0 cpf_msg_holdq_pr
  96   0          0          0      29960          0          0 cpf_msg_rcvq_pro
  97   0          0          0      29960          0          0 cpf_process_tpQ 
  98   0          0          0      29960          0          0 Environmental Mo
  99   0          0          0      29960          0          0 RP HA Periodic  
 100   0          0          0      29960          0          0 DHCP Snooping cl
 101   0          0          0      29960          0          0 DHCP Snooping   
 102   0          0          0      29960          0          0 DHCP Snooping db
 103   0      66176        600      95536          0          0 Crimson interfac
 104   0          0          0      29960          0          0 Crimson Database
 105   0 3103342520 3103237160     135320          0          0 Crimson flush tr
 106   0 5192017032 5192017032      29960          0          0 Crimson config p
 107   0      98736      22464     200696          0          0 DBAL EVENTS     
 108   0          0          0      41960          0          0 CONSOLE helper p
 109   0      87952      23256      32200        246        246 EM_SHIM_TASK    
 110   0        448      27256      29960          0          0 EM_SHIM_NOTIFY_T
 111   0          0          0      29960          0          0 REDUNDANCY peer 
 112   0          0          0      30096          0          0 100ms check     
 113   0          0          0      29960          0          0 DHCPD HA        
 114   0          0          0      29960          0          0 ARP HA          
 115   0          0          0      17960          0          0 XDR RRP RF waite
 116   0        448        448      41960          0          0 SISF HA Process 
 117   0          0          0      29960          0          0 ACCESS_TUNNEL CF
 118   0          0          0      29960          0          0 DHCP Snooping HA
 119   0          0          0      29960          0          0 MATM CF Flow Con
